ms_1,ms_2,time_ns,is_same
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__mrdata-usgs-gov-mrds__10261819__sri,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__mrdata-usgs-gov-mrds__10261819__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__mrdata-usgs-gov-mrds__10024775__sri,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__mrdata-usgs-gov-mrds__10024775__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__mrdata-usgs-gov-mrds__60000729__sri,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__mrdata-usgs-gov-mrds__60000729__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__mrdata-usgs-gov-mrds__10236401__sri,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__mrdata-usgs-gov-mrds__10236401__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__mrdata-usgs-gov-mrds__10008577__sri,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__mrdata-usgs-gov-mrds__10008577__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__doi-org-10-5066-p9k1hbnt__553__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__mrdata-usgs-gov-deposit__ca00060__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__mrdata-usgs-gov-pp1802__1175__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__doi-org-10-5066-p9htergk__42710__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__doi-org-10-5066-p9htergk__1303__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__doi-org-10-5066-p9htergk__1014__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__doi-org-10-5066-p9htergk__32871__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__doi-org-10-5066-p9htergk__37346__umn,1748933631222403858,1
site__doi-org-10-4095-295581__54acd4de-5ed7-4a90-88d9-3e00a2bee607__bvu,site__doi-org-10-4095-295581__970__usc,1748933631222403858,1
site__mrdata-usgs-gov-mrds__10026601__bvu,site__mrdata-usgs-gov-mrds__10026601__sri,1750373395390817183,1
site__mrdata-usgs-gov-mrds__10026601__bvu,site__mrdata-usgs-gov-mrds__10026601__umn,1750373395390817183,1
site__api-cdr-land-v1-docs-documents__020062e198a32b8a26783f9b6fd85bf5ee26092df2d50384862ade0b1808330635__bvu,site__api-cdr-land-v1-docs-documents__020062e198a32b8a26783f9b6fd85bf5ee26092df2d50384862ade0b1808330635__inferlink,1752452038885210927,1
site__api-cdr-land-v1-docs-documents__020062e198a32b8a26783f9b6fd85bf5ee26092df2d50384862ade0b1808330635__bvu,site__api-cdr-land-v1-docs-documents__020062e198a32b8a26783f9b6fd85bf5ee26092df2d50384862ade0b1808330635__sri,1752452038885210927,1
