ms,ms_name,country,state_or_province,loc_wkt,group_id
https://minmod.isi.edu/resource/mineral_site314ff92ede70c79753e9f57acd7b5ee7ef7e6ddef03e7c6616234f4e23346948,Morrison North-2,United States,Oklahoma,POINT (-96.99559 36.36119),3465.0
https://minmod.isi.edu/resource/mineral_site82a48383408beefbc9289fe14a940611bf03cda3042693492cd8f878be5914fb,Elmer Nelson Property,United States,Washington,POINT (-122.80904 47.5567),3699.0
https://minmod.isi.edu/resource/mineral_site0540e5b7446ba94e83c2d13b8f2b30dcefd103fdf4c4f4670dc9eb8ee11bb126,Keystone,United States,Alaska,POINT (-146.54034 60.85379),3700.0
https://minmod.isi.edu/resource/mineral_site64696f732cfdef3720103c78d37b91f4fcc03ab1b15562276f2d63bc6389dd8b,Wild Rose,United States,Washington,POINT (-121.41056 47.96111),3701.0
https://minmod.isi.edu/resource/mineral_site9bb90d0020adecdf0774dcd82db7bb0b412f0a74e5e203c884f09e81f8d2cbf0,Unknown - Lead-Cobalt-Copper-Nickel,United States,Missouri,POINT (-90.4309 37.58977),3702.0
https://minmod.isi.edu/resource/mineral_sitee5a50879d30fb460922171b8a0bf74271e78894e00156dec6e2dab3cf94abc68,Kouaoua,France,Territory of New Caledonia and Dependencies,POINT (165.74852 -21.39691),3460.0
https://minmod.isi.edu/resource/mineral_site61d10914bc0890456b5e42f05104e2e99cfb4b972ec847bd87837516f0d11808,(Facility) Yabulu Nickel-Cobalt Refinery,Australia,Queensland,POINT (145.53209 -19.19688),3458.0
https://minmod.isi.edu/resource/mineral_sitefd718fc99e31b0383290d8821790a6ef231af6ee20c26fec4957da91413841a9,Josephine Mine,United States,Colorado,POINT (-106.1998 38.9636),3708.0
https://minmod.isi.edu/resource/mineral_sitebe15fd6d9e8ef76ceea15d64988ea55032cd622fb18d4f6d35f6caca8cf77610,Copperopolis Mine,United States,Oregon,POINT (-118.68077 44.55791),3276.0
https://minmod.isi.edu/resource/mineral_sitec80294a86e1fc31a7b81d057f134b00200de646bb5e37a9aecc765978cbe996a,Indian Point Tourmaline - Quartz Group,United States,Idaho,POINT (-114.38593 45.20548),3947.0
https://minmod.isi.edu/resource/mineral_site80625b4c56841e8036f0ff7ab851c5089d8bec7aa1113257513af170e75bf64b,Eagle Bluff Occurrence,United States,Alaska,POINT (-142.20276 64.79866),4221.0
https://minmod.isi.edu/resource/mineral_sitec37ac4bcb46a405cb7aa6116d3b7111ea409544e6ae9b50c125a6bbcad17d8c5,(Facility) Kalgoorlie Flash Smelter,Australia,Western Australia,POINT (121.4825 -30.8128),3093.0
https://minmod.isi.edu/resource/mineral_sitedfe01c602cf75def5e9f4bb8a5169b46f31f08500db33706d53cb0229142acb9,Stillwater Complex,United States,Montana,POINT (-110.00079 45.41662),4122.0
https://minmod.isi.edu/resource/mineral_site992396dfe794451abd7a712af5f61f55fa06195e80bc7ac095902a56864360d5,Konkola,Zambia,Copperbelt,POINT (27.7903 -12.3215),4124.0
https://minmod.isi.edu/resource/mineral_sited067252d379296ae755dc529e54bbc22ad3d9708ceeb2527acd9f73730cbec7d,Manganese Workings No 2,United States,Virginia,POINT (-81.04701 36.89757),3104.0
https://minmod.isi.edu/resource/mineral_site6d78106f6e824a8b05965dc98788e5b423f318a774e2992463180f5355ac87bd,Temiskaming Silver-Cobalt Deposits - Canada,Canada,Ontario,POINT (-79.09971 46.71666),3103.0
https://minmod.isi.edu/resource/mineral_site57ccd6c154119c53105c7b0521ae5cf635486db06f75ca68de5d36ea08349173,Glade-Orchard-Mavis Bank of Deposits,Jamaica,Saint Andrew,POINT (-76.6525 18.03069),4128.0
https://minmod.isi.edu/resource/mineral_site6ded4f7591ce961e8faf716430121e1708ebd42cb3024fc9cddc92048d096bfa,Eitrheim,Norway,Hordaland,POINT (6.53617 60.08216),3097.0
https://minmod.isi.edu/resource/mineral_site87d59376c3336694f94b767ae647d65d13e16b6dda0269f410098b8398e9a113,"Viburnum No.'s 27, 28, 29, and 35 (Casteel) mines",United States,Missouri,POINT (-91.13854 37.75297),3095.0
https://minmod.isi.edu/resource/mineral_site511ea95043548768df7a1bb963bbdd7e91d29b884d0b4225a1acba14ccbe331a,Copper King,United States,Washington,POINT (-120.887 48.27542),3092.0
https://minmod.isi.edu/resource/mineral_site139e89c2419b57cc2bdf7548e8c9aff738f444bf33cfd88f67fca59f4187465d,Green Mountain,United States,California,POINT (-119.99737 37.27243),3113.0
https://minmod.isi.edu/resource/mineral_site004e2814c21ef03677f68156f8e47b5662cbaacaa5b7040cfedf7d109b824ffa,Unknown - Lead.Zinc-Copper.Cobalt,United States,Missouri,POINT (-90.14149 37.54227),3091.0
https://minmod.isi.edu/resource/mineral_site09ad159c214769355db114e99a5830d8e7973b39ef8b80696dc8cfae7a43e713,Nicaro District,Cuba,Holguin,POINT (-75.54969 20.58388),4144.0
https://minmod.isi.edu/resource/mineral_site200cf5caadca9bec938cefa49037cd1395658fc579d4a8f9ac272ddeda8c47bc,Rock Run District,United States,Alabama,POINT (-85.47495 33.98344),4145.0
https://minmod.isi.edu/resource/mineral_site9cf5a67eea109c5970b24702f1e311c674b0bd674cbee99136d1b5404a7b217a,NI 43-101 Technical Report for the McCreedy West Project in North America dated March 2003,Canada,Ontario,POINT(-81.383333 46.616667),3087.0
https://minmod.isi.edu/resource/mineral_site3845231f21ef61da84c9c6c01e66488ddf166331b9855158e005e63c23e8abbb,Blashke Island,United States,Alaska,POINT (-132.90185 56.13306),3085.0
https://minmod.isi.edu/resource/mineral_sitefdf1c6bdcac8e9e6d24e0e0b32fd1613546583daeb103b9ae89f454bd04c0480,Constancia-Rosario Mine,Bolivia,Oruro,POINT (-66.71614 -18.23097),4148.0
https://minmod.isi.edu/resource/mineral_siteae87ce9fafd9ff6f21b8a311ad0463473fd8fa7ecb2c5d799ea776fa0b811fe7,West Mt. Fairweather Stock,United States,Alaska,POINT (-137.62154 58.90251),4151.0
https://minmod.isi.edu/resource/mineral_site85987c51c0354182160f0d944f613c81ac9274d6363d00c762c6688603f13c93,Elizabeth Creek,United States,Idaho,POINT (-115.24379 46.81797),3081.0
https://minmod.isi.edu/resource/mineral_site49f3971ba9bded4a089dfdc35a397cadf7a2a25b7eabc12b8d1b866fcb61cb4b,Little No Name Prospect,United States,Idaho,POINT (-114.11737 44.96296),4113.0
https://minmod.isi.edu/resource/mineral_sitedf08e6a82c2bdbd4d464c3a0cd8450289bda826cd5d11b45c35ed2ed798f6aba,Hudson,United States,Alaska,POINT (-148.51804 65.50467),4087.0
https://minmod.isi.edu/resource/mineral_site2077f3764912f2bc18629074034f748699e505c36113a3f29e165c0ea8f96ab5,Joe L Knez,United States,Colorado,POINT (-107.46896 40.45997),4099.0
https://minmod.isi.edu/resource/mineral_siteb5f7d9b507d9ac730790d77ce53aebd278cae5091e076650de51a2f9db9ca8ab,Windy Craggy,Canada,British Columbia,POINT (-137.8355 59.74972),4089.0
https://minmod.isi.edu/resource/mineral_siteb21efda7931de706195a3c11cfc2bdc0ef4a4e38a778d86cde53ddcf6fcdd826,Kazibizi,Congo (Kinshasa),Katanga,POINT (26.60045 -10.83921),4091.0
https://minmod.isi.edu/resource/mineral_site5c9eb91de0b1c450459212f8d85b897183f72d72eee149e1cb10bdd3fe69e821,Gay 1-4,United States,Alaska,POINT (-142.92194 62.14829),3143.0
https://minmod.isi.edu/resource/mineral_site2661477defe9790e4f40a20bf957a90289a8bbb9f972434e53a920109cfe7a9d,Bunker Hill Group,United States,Oregon,POINT (-124.14697 42.36901),3142.0
https://minmod.isi.edu/resource/mineral_site1165071f7fc1977acdc3be1fe2df7df2bfa502cc01b7d0c33f9fb4052baedd20,La Libertad Area,Nicaragua,Chontales,POINT (-85.16665 12.21347),3141.0
https://minmod.isi.edu/resource/mineral_sitece959b93bb1b999f434d3ec13aeff2897658fc08633b8d7b6d20553fdc251b6e,Clear Creek-Elkhorn Creek,United States,Idaho,POINT (-114.45077 45.2441),4092.0
https://minmod.isi.edu/resource/mineral_site011488170c4e9ca87e79d5ba42890043c83933623b0303de5f5b624984d60d33,Port Snettisham,United States,Alaska,POINT (-133.77087 57.98865),3138.0
https://minmod.isi.edu/resource/mineral_site73cf5e1724429a988330228b3f9701f53991d56e21565cdd212639d901f1b4de,Pyrites Hill Iron-Cobalt Prospect-Australia,Australia,New South Wales,POINT (147.01159 -32.16647),4097.0
https://minmod.isi.edu/resource/mineral_sitec13a527073850948270c524a81360ec8a1607601037245adae6f8a8a5608c6e4,Mina San Pedro Canzas,Peru,Ica,POINT (-75.58664 -14.01223),3134.0
https://minmod.isi.edu/resource/mineral_siteda8a1f4a995c8f606f4c6e13a73b6cd8901f6ecc3371718ee5916f25902edb57,Gray Eagle,United States,California,POINT (-123.37284 41.86263),3132.0
https://minmod.isi.edu/resource/mineral_site5476ec9fad0e7e48e4cf7928dfeb1c63e025b4c046993beb9537b2fc5cf19d7e,Wilson George Jennie,United States,Oregon,POINT (-123.03558 42.46815),3131.0
https://minmod.isi.edu/resource/mineral_site9b8d2e47e961e06f7497f04cdb0f6bd75b13f8ed1727ce61e60d776526a2b214,El Triunfo-San Antonio Zone,Mexico,Baja California Sur,POINT (-110.03533 23.8043),4105.0
https://minmod.isi.edu/resource/mineral_site093b6a5ecd2c26dadc3a86b6a8eb0be5b745ab78ddbbaf97e85c4170ae6e8c8e,Harbour Property,United States,Alabama,POINT (-85.62275 33.98624),3122.0
https://minmod.isi.edu/resource/mineral_site87b75cb53c61afac3abf70fcfeaab6e86407a11857bb83366eb414e59e6a0acd,Agnigundala Pb - Cu,India,Andhra Pradesh,POINT (79.66701 16.21665),3121.0
https://minmod.isi.edu/resource/mineral_sitebcfd97a3e5b6b2166732b65240ca80f15acf71698df9e0a02ea300b0aa47ea69,Bucko Lake Zone,Canada,Manitoba,POINT (-98.6608 54.88785),4107.0
https://minmod.isi.edu/resource/mineral_site6b14519c14c18f7d30e658766feb91b990981c3107042538a96783b45fc1a8b5,Tincup Peak,United States,Oregon,POINT (-123.91422 42.31149),3078.0
https://minmod.isi.edu/resource/mineral_sitec157cfee836e23b8d8499b7869112ae3e553c4ee0eb1cf7f45ef413f7cec6b84,Kaiyuan Cu/Co/Sb Deposit,China,Yunnan,POINT (103.49971 23.49932),3022.0
https://minmod.isi.edu/resource/mineral_site5bf9d68d081b1e5bc6492c5a75d7757ecb0ab43bf42728bccf17aacc0be1dbc2,Chambishi,Zambia,Copperbelt,POINT (28.04565 -12.6601),4192.0
https://minmod.isi.edu/resource/mineral_sitef7647b06c04fe5cf0b5f43dadb190354e3b895ffaaab61cea2d562804c520065,Coeur D'Alene Mines,United States,Idaho,POINT (-116.01603 47.49681),3032.0
https://minmod.isi.edu/resource/mineral_siteb680aa09b743d1a324abc351087bdbfcc1db2b6721a2ff4f2ce4479a407fa7d9,Gold Crater Mine,United States,Wyoming,POINT (-106.24924 41.17497),3031.0
https://minmod.isi.edu/resource/mineral_sitec4ef394dabba2cb86191d8187fffc3a4f30a1944032f0a0b4eb3c672b610089a,Bergen Kemp Prospect,United States,Virginia,POINT (-80.52257 36.77924),3030.0
https://minmod.isi.edu/resource/mineral_site0c72901e4943b4f7c912bd4c4b0648321c75444adf01dd37ade637cc944d203a,Ware Mine,United States,Missouri,POINT (-90.4123 37.43977),3029.0
https://minmod.isi.edu/resource/mineral_sitee96455ce5d2e1ef96aecea07f3da96ecb21eadd58ce460e439fb0ddbead0ecc2,Franklin Mine,United States,New Jersey,POINT (-74.58599 41.1181),3028.0
https://minmod.isi.edu/resource/mineral_site167cbdc96ccd8dcde9b25c210fd44c232fe71321c1babbf3d3eada985b7a114d,Flat River,United States,Missouri,POINT (-90.51011 37.84176),4200.0
https://minmod.isi.edu/resource/mineral_sitef45510eb83a1645e115e887b9025153cfd20387a039700e8170ddf873ebb687e,Buckhorn Mine,United States,Idaho,POINT (-113.4662 44.79069),4201.0
https://minmod.isi.edu/resource/mineral_sitef33d71bdd397e41699ad729becbc5d920a042b14400a1d0c1462dbcbcf40cf71,Dupuis,United States,Idaho,POINT (-114.33873 45.06379),3023.0
https://minmod.isi.edu/resource/mineral_site9c767dce8569538fc4ef875cbfaa3d48338ad6eaa05740db67c7391a196f678a,Alhambra Mine,United States,New Mexico,POINT (-108.50951 32.7215),3021.0
https://minmod.isi.edu/resource/mineral_site12c69358299e6556542bf730302672a8a584bdc6a3a6e79f40e3cbef6313eb73,Chisholm Claims,United States,Oregon,POINT (-122.96534 42.60842),4155.0
https://minmod.isi.edu/resource/mineral_sited2e3bd0dba42cf75bd8bdb976f61ebce04f8ae7ded25a51b917f3afead2ecb6f,Lourdes Ines Mine,Bolivia,La Paz,POINT (-69.2376 -17.291),3020.0
https://minmod.isi.edu/resource/mineral_site0a45ec156a88778bbb73c2d8ba6d7a162cb5f1d5f682506e0c29d5887c0614e5,Grace Iron-Colbalt Minemorgantown/Jones & Kinney Mine/Bylers Mine,United States,Pennsylvania,POINT (-75.87907 40.17112),4204.0
https://minmod.isi.edu/resource/mineral_site3fbabd41d69eca7c2b1b74b829d805e9317ccf2f97d255ef82ed1bb1d334b1be,Orsk Combine,"Russia, Kazakhstan","Aqtobe, Orenburgskaya Oblast'",POINT (58.58459 51.21467),4205.0
https://minmod.isi.edu/resource/mineral_sitedfac0154184aa12992f89600c4d09105a887e63f89f9ad587dfaa06bb71a55f9,Unnamed Occurrence,United States,Alaska,POINT (-144.66155 68.13313),4206.0
https://minmod.isi.edu/resource/mineral_sitef869d768053d78c0529403a7d0bd58982a070f06175d5ec03d962deda4ac3805,Boulder-Cobalt Mine,United States,Montana,POINT (-112.12227 45.603),3016.0
https://minmod.isi.edu/resource/mineral_siteee59397eed3c11ebf6c00d0fad6732948c747b718ff3e7f8d7c80c2316643099,Kivivik,United States,Alaska,POINT (-161.77368 67.88946),3014.0
https://minmod.isi.edu/resource/mineral_site6510b6363acebbd170ea25cb9735a0f85accfec5af69593a9fd0dfa441273f26,Nunca Es Tarde,Peru,Puno,POINT (-70.06623 -14.11445),3013.0
