ms_1,ms_2,time_ns,is_same
site__mrdata-usgs-gov-mrds__10246058__umn,site__mrdata-usgs-gov-mrds__10246058__sri,1749144402256214048,1
site__mrdata-usgs-gov-mrds__10246058__umn,site__mrdata-usgs-gov-mrds__10048815__umn,1749144402256214048,1
site__mrdata-usgs-gov-mrds__10246058__umn,site__mrdata-usgs-gov-mrds__10048815__sri,1749144402256214048,1
site__mrdata-usgs-gov-mrds__10246058__umn,site__doi-org-10-5066-p9k1hbnt__58__umn,1749144402256214048,1
site__mrdata-usgs-gov-mrds__70c34897-227d-405d-bfb4-b0b98394f943__ggraham,site__mrdata-usgs-gov-mrds__10246058__sri,1749144594820370745,1
site__mrdata-usgs-gov-mrds__70c34897-227d-405d-bfb4-b0b98394f943__ggraham,site__mrdata-usgs-gov-mrds__10246058__umn,1749144594820370745,1
site__mrdata-usgs-gov-mrds__70c34897-227d-405d-bfb4-b0b98394f943__ggraham,site__mrdata-usgs-gov-mrds__10048815__sri,1749144594820370745,1
site__mrdata-usgs-gov-mrds__70c34897-227d-405d-bfb4-b0b98394f943__ggraham,site__mrdata-usgs-gov-mrds__10048815__umn,1749144594820370745,1
site__mrdata-usgs-gov-mrds__70c34897-227d-405d-bfb4-b0b98394f943__ggraham,site__doi-org-10-5066-p9k1hbnt__58__umn,1749144594820370745,1
