ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__1197,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__1197
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__1205,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__1197
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__1198,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__1197
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__1203,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__1197
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__1201,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__1197
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__312,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__312
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__223,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__223
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__762,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__762
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__770,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__762
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__192,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__192
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2707,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2707
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__33,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__33
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__961,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__961
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-carbonatite__57,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-carbonatite__57
