ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__pomalaa-limonite,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__pomalaa-limonite
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__586,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__586
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10181559,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10181559
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055376,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055376
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00071,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00071
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg054,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg054
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__582,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__582
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10131437,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10131437
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10093015,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10131437
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10104143,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10131437
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__342,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__342
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__lawlers,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__lawlers
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ar035,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ar035
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10034329,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10034329
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__mulga-rock-east-princess-ambassador-217,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__mulga-rock-east-princess-ambassador-217
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10068220,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10068220
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk060,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk060
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__pacific-highway,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__pacific-highway
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__clarion-clipperton-kiost-korea,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__clarion-clipperton-kiost-korea
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__106,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__106
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10155874,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10155874
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10002264,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10002264
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10118935,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10118935
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10255050,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10255050
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085283,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085283
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__733,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__733
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__566,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__566
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__644,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__644
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005300,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005300
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10266977,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10266977
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__266,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__266
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10153061,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10153061
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10033301,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10153061
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__mopani-nkana-tailings-2280,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__mopani-nkana-tailings-2280
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__382,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__382
https://minmod.isi.edu/resource/site__doi-org-10-1016-j-oregeorev-2016-08-010__qinghai-deerni-429,https://minmod.isi.edu/resource/site__doi-org-10-1016-j-oregeorev-2016-08-010__qinghai-deerni-429
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10060745,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10060745
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005315,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005315
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__309,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__309
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__302,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__302
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10087927,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10087927
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__pyke-hill,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__pyke-hill
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__371,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__371
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sir20105090z__10371,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sir20105090z__10371
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2228,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sir20105090z__10371
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__29,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sir20105090z__10371
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__151,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__151
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134414,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134414
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__ruth-well,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__ruth-well
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__299,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__299
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__142,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__142
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10220994,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10220994
https://minmod.isi.edu/resource/site__doi-org-10-1016-j-oregeorev-2016-08-010__letnye-746,https://minmod.isi.edu/resource/site__doi-org-10-1016-j-oregeorev-2016-08-010__letnye-746
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__kingash-group-1683,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__kingash-group-1683
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10400378,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10400378
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10101840,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10101840
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__112,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__112
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__95,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__95
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__chernogorskoe-1668,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__95
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__chernogorskoye,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__95
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10069252,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10069252
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__cr157,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__cr157
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096236,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096236
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10307862,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10307862
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__31,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__31
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10068456,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__31
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024505,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__31
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__630,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__630
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__629,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__630
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__759,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__759
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__oravainen-1079,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__oravainen-1079
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__aguablanca-1891,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__aguablanca-1891
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10112721,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10112721
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__459,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__459
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10119380,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10119380
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__696,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__696
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10121356,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10121356
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10084659,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10121356
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00052,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00052
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__28,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__28
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__nyabikere,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__28
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__32,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__32
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__araguaia-north-south,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__araguaia-north-south
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ar018,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ar018
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg055,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg055
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230814,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230814
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10254948,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10254948
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079589,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10254948
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__94,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__94
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10227178,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10227178
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10257844,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10257844
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10155993,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10155993
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10048604,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10155993
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079591,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079591
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg068,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg068
